data_hora,nome_produto,preco,link_produto,plataforma
2026-09-14 22:12:00,Filamento PETG 1kg Preto,119.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-15 22:12:00,Filamento PETG 1kg Preto,112.50,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-16 22:12:00,Filamento PETG 1kg Preto,105.00,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-17 22:12:00,Filamento PETG 1kg Preto,108.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-18 22:12:00,Filamento PETG 1kg Preto,94.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-19 22:12:00,Filamento PETG 1kg Preto,87.90,https://lista.mercadolivre.com.br/filamento-petg-1kg-preto,Mercado Livre
2026-09-19 23:14:53,Filamento PETG 1kg Preto,65.13,https://www.mercadolivre.com.br/b-filamento-petg-fibra-de-carbono-175-mm-para-impressora-3d/p/MLB2057327523,Mercado Livre
2026-09-19 23:14:53,SSD NVMe M.2 1TB,112.36,https://www.mercadolivre.com.br/ssd-nvme-para-xbox-armazenamento-de-estado-solido/p/MLB2025895750,Mercado Livre
2026-09-19 23:14:53,Mouse Sem Fio Recarregável,10.00,https://shopee.com.br/Mouse-Sem-Fio-Bluetooth-5.2-2.4G-Recarregável-LED-RGB-com-Mouse-Pad-Kit-Completo-i.787370863.58265991517,Shopee
2026-09-20 09:09:27,Mouse Sem Fio Recarregável,10.00,https://shopee.com.br/Mouse-Sem-Fio-Bluetooth-5.2-2.4G-Recarregável-LED-RGB-com-Mouse-Pad-Kit-Completo-i.787370863.58265991517,Shopee
